"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	Count
	"Breast"	"26000"	"Alabama"	"01"	"2014"	"2014"	"Female"	"F"	359
	"Breast"	"26000"	"Alabama"	"01"	"2014"	"2014"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Alabama"	"01"	"2015"	"2015"	"Female"	"F"	349
	"Breast"	"26000"	"Alabama"	"01"	"2015"	"2015"	"Male"	"M"	0
	"Breast"	"26000"	"Alabama"	"01"	"2016"	"2016"	"Female"	"F"	383
	"Breast"	"26000"	"Alabama"	"01"	"2016"	"2016"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	357
	"Breast"	"26000"	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	364
	"Breast"	"26000"	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	0
	"Breast"	"26000"	"Alaska"	"02"	"2014"	"2014"	"Female"	"F"	56
	"Breast"	"26000"	"Alaska"	"02"	"2014"	"2014"	"Male"	"M"	0
	"Breast"	"26000"	"Alaska"	"02"	"2015"	"2015"	"Female"	"F"	58
	"Breast"	"26000"	"Alaska"	"02"	"2015"	"2015"	"Male"	"M"	0
	"Breast"	"26000"	"Alaska"	"02"	"2016"	"2016"	"Female"	"F"	49
	"Breast"	"26000"	"Alaska"	"02"	"2016"	"2016"	"Male"	"M"	0
	"Breast"	"26000"	"Alaska"	"02"	"2017"	"2017"	"Female"	"F"	48
	"Breast"	"26000"	"Alaska"	"02"	"2017"	"2017"	"Male"	"M"	0
	"Breast"	"26000"	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	52
	"Breast"	"26000"	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	0
	"Breast"	"26000"	"Arizona"	"04"	"2014"	"2014"	"Female"	"F"	426
	"Breast"	"26000"	"Arizona"	"04"	"2014"	"2014"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Arizona"	"04"	"2015"	"2015"	"Female"	"F"	429
	"Breast"	"26000"	"Arizona"	"04"	"2015"	"2015"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Arizona"	"04"	"2016"	"2016"	"Female"	"F"	398
	"Breast"	"26000"	"Arizona"	"04"	"2016"	"2016"	"Male"	"M"	0
	"Breast"	"26000"	"Arizona"	"04"	"2017"	"2017"	"Female"	"F"	441
	"Breast"	"26000"	"Arizona"	"04"	"2017"	"2017"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Arizona"	"04"	"2018"	"2018"	"Female"	"F"	422
	"Breast"	"26000"	"Arizona"	"04"	"2018"	"2018"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Arkansas"	"05"	"2014"	"2014"	"Female"	"F"	193
	"Breast"	"26000"	"Arkansas"	"05"	"2014"	"2014"	"Male"	"M"	0
	"Breast"	"26000"	"Arkansas"	"05"	"2015"	"2015"	"Female"	"F"	211
	"Breast"	"26000"	"Arkansas"	"05"	"2015"	"2015"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Arkansas"	"05"	"2016"	"2016"	"Female"	"F"	197
	"Breast"	"26000"	"Arkansas"	"05"	"2016"	"2016"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Arkansas"	"05"	"2017"	"2017"	"Female"	"F"	191
	"Breast"	"26000"	"Arkansas"	"05"	"2017"	"2017"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Arkansas"	"05"	"2018"	"2018"	"Female"	"F"	223
	"Breast"	"26000"	"Arkansas"	"05"	"2018"	"2018"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"California"	"06"	"2014"	"2014"	"Female"	"F"	2748
	"Breast"	"26000"	"California"	"06"	"2014"	"2014"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"California"	"06"	"2015"	"2015"	"Female"	"F"	2914
	"Breast"	"26000"	"California"	"06"	"2015"	"2015"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"California"	"06"	"2016"	"2016"	"Female"	"F"	2847
	"Breast"	"26000"	"California"	"06"	"2016"	"2016"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"California"	"06"	"2017"	"2017"	"Female"	"F"	2872
	"Breast"	"26000"	"California"	"06"	"2017"	"2017"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"California"	"06"	"2018"	"2018"	"Female"	"F"	2858
	"Breast"	"26000"	"California"	"06"	"2018"	"2018"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Colorado"	"08"	"2014"	"2014"	"Female"	"F"	401
	"Breast"	"26000"	"Colorado"	"08"	"2014"	"2014"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Colorado"	"08"	"2015"	"2015"	"Female"	"F"	406
	"Breast"	"26000"	"Colorado"	"08"	"2015"	"2015"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Colorado"	"08"	"2016"	"2016"	"Female"	"F"	422
	"Breast"	"26000"	"Colorado"	"08"	"2016"	"2016"	"Male"	"M"	0
	"Breast"	"26000"	"Colorado"	"08"	"2017"	"2017"	"Female"	"F"	442
	"Breast"	"26000"	"Colorado"	"08"	"2017"	"2017"	"Male"	"M"	0
	"Breast"	"26000"	"Colorado"	"08"	"2018"	"2018"	"Female"	"F"	430
	"Breast"	"26000"	"Colorado"	"08"	"2018"	"2018"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Connecticut"	"09"	"2014"	"2014"	"Female"	"F"	325
	"Breast"	"26000"	"Connecticut"	"09"	"2014"	"2014"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Connecticut"	"09"	"2015"	"2015"	"Female"	"F"	292
	"Breast"	"26000"	"Connecticut"	"09"	"2015"	"2015"	"Male"	"M"	0
	"Breast"	"26000"	"Connecticut"	"09"	"2016"	"2016"	"Female"	"F"	286
	"Breast"	"26000"	"Connecticut"	"09"	"2016"	"2016"	"Male"	"M"	0
	"Breast"	"26000"	"Connecticut"	"09"	"2017"	"2017"	"Female"	"F"	274
	"Breast"	"26000"	"Connecticut"	"09"	"2017"	"2017"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Connecticut"	"09"	"2018"	"2018"	"Female"	"F"	282
	"Breast"	"26000"	"Connecticut"	"09"	"2018"	"2018"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Delaware"	"10"	"2014"	"2014"	"Female"	"F"	64
	"Breast"	"26000"	"Delaware"	"10"	"2014"	"2014"	"Male"	"M"	0
	"Breast"	"26000"	"Delaware"	"10"	"2015"	"2015"	"Female"	"F"	71
	"Breast"	"26000"	"Delaware"	"10"	"2015"	"2015"	"Male"	"M"	0
	"Breast"	"26000"	"Delaware"	"10"	"2016"	"2016"	"Female"	"F"	66
	"Breast"	"26000"	"Delaware"	"10"	"2016"	"2016"	"Male"	"M"	0
	"Breast"	"26000"	"Delaware"	"10"	"2017"	"2017"	"Female"	"F"	71
	"Breast"	"26000"	"Delaware"	"10"	"2017"	"2017"	"Male"	"M"	0
	"Breast"	"26000"	"Delaware"	"10"	"2018"	"2018"	"Female"	"F"	85
	"Breast"	"26000"	"Delaware"	"10"	"2018"	"2018"	"Male"	"M"	0
	"Breast"	"26000"	"District of Columbia"	"11"	"2014"	"2014"	"Female"	"F"	77
	"Breast"	"26000"	"District of Columbia"	"11"	"2014"	"2014"	"Male"	"M"	0
	"Breast"	"26000"	"District of Columbia"	"11"	"2015"	"2015"	"Female"	"F"	60
	"Breast"	"26000"	"District of Columbia"	"11"	"2015"	"2015"	"Male"	"M"	0
	"Breast"	"26000"	"District of Columbia"	"11"	"2016"	"2016"	"Female"	"F"	80
	"Breast"	"26000"	"District of Columbia"	"11"	"2016"	"2016"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"District of Columbia"	"11"	"2017"	"2017"	"Female"	"F"	79
	"Breast"	"26000"	"District of Columbia"	"11"	"2017"	"2017"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"District of Columbia"	"11"	"2018"	"2018"	"Female"	"F"	58
	"Breast"	"26000"	"District of Columbia"	"11"	"2018"	"2018"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Florida"	"12"	"2014"	"2014"	"Female"	"F"	1408
	"Breast"	"26000"	"Florida"	"12"	"2014"	"2014"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Florida"	"12"	"2015"	"2015"	"Female"	"F"	1488
	"Breast"	"26000"	"Florida"	"12"	"2015"	"2015"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Florida"	"12"	"2016"	"2016"	"Female"	"F"	1529
	"Breast"	"26000"	"Florida"	"12"	"2016"	"2016"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Florida"	"12"	"2017"	"2017"	"Female"	"F"	1406
	"Breast"	"26000"	"Florida"	"12"	"2017"	"2017"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Florida"	"12"	"2018"	"2018"	"Female"	"F"	1469
	"Breast"	"26000"	"Florida"	"12"	"2018"	"2018"	"Male"	"M"	Suppressed
	"Breast"	"26000"	"Georgia"	"13"	"2014"	"2014"	"Female"	"F"	853
	"Breast"	"26000"	"Georgia"	"13"	"2014"	"2014"	"Male"	"M"	Suppressed
